Date,Price,Open,High,Low,Vol.,Change %
03/09/2023,25.20,25.20,25.20,25.20,0.19K,0.00%
03/12/2023,25.20,25.20,25.20,25.20,0.70K,0.00%
03/14/2023,25.20,25.20,25.20,25.20,0.05K,0.00%
03/15/2023,25.20,25.20,25.20,25.20,0.28K,0.00%
03/16/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
03/22/2023,25.20,25.20,25.20,25.20,1.42K,0.00%
03/23/2023,25.20,25.20,25.20,25.20,0.02K,0.00%
03/29/2023,25.20,25.20,25.20,25.20,0.18K,0.00%
03/30/2023,25.20,25.20,25.20,25.20,0.18K,0.00%
04/02/2023,25.20,25.20,25.20,25.20,0.17K,0.00%
04/04/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
04/06/2023,25.20,25.20,25.20,25.20,0.20K,0.00%
04/09/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
04/10/2023,25.20,25.20,25.20,25.20,1.50K,0.00%
04/13/2023,25.20,25.20,25.20,25.20,0.05K,0.00%
04/16/2023,25.20,25.20,25.20,25.20,2.00K,0.00%
04/17/2023,25.20,25.20,25.20,25.20,0.21K,0.00%
04/18/2023,25.20,25.20,25.20,25.20,0.21K,0.00%
04/24/2023,25.20,25.20,25.20,25.20,0.09K,0.00%
04/25/2023,25.20,25.20,25.20,25.20,0.68K,0.00%
04/27/2023,25.20,25.20,25.20,25.20,1.70K,0.00%
04/30/2023,25.20,25.20,25.20,25.20,0.03K,0.00%
05/02/2023,25.20,25.20,25.20,25.20,1.70K,0.00%
05/03/2023,25.20,25.20,25.20,25.20,0.89K,0.00%
05/07/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
05/10/2023,25.20,25.20,25.20,25.20,2.01K,0.00%
05/15/2023,25.20,25.20,25.20,25.20,0.02K,0.00%
05/16/2023,25.20,25.20,25.20,25.20,1.20K,0.00%
05/17/2023,25.20,25.20,25.20,25.20,0.10K,0.00%
05/21/2023,25.20,25.20,25.20,25.20,10.00K,0.00%
05/22/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
05/25/2023,25.20,25.20,25.20,25.20,0.15K,0.00%
05/28/2023,25.20,25.20,25.20,25.20,1.72K,0.00%
05/29/2023,25.20,25.20,25.20,25.20,0.50K,0.00%
05/30/2023,25.20,25.20,25.20,25.20,0.51K,0.00%
05/31/2023,25.20,25.20,25.20,25.20,47.24K,0.00%
06/01/2023,25.20,25.20,25.20,25.20,0.26K,0.00%
