Date,Price,Open,High,Low,Vol.,Change %
06/06/2023,82.30,87.00,87.90,79.00,1.01M,-4.30%
06/07/2023,90.30,82.90,90.50,82.00,678.57K,9.72%
06/08/2023,97.90,93.00,99.30,93.00,3.26M,8.42%
06/11/2023,89.20,97.90,99.00,88.60,1.16M,-8.89%
06/12/2023,84.90,88.30,92.80,83.30,1.12M,-4.82%
06/13/2023,83.20,87.70,88.00,81.30,542.60K,-2.00%
06/14/2023,77.40,85.90,85.90,76.30,665.04K,-6.97%
06/15/2023,79.10,77.40,81.40,76.00,439.20K,2.20%
06/18/2023,79.40,79.90,80.90,78.30,303.94K,0.38%
06/19/2023,84.40,81.00,85.60,80.60,632.07K,6.30%
06/20/2023,80.10,85.00,86.70,79.30,808.39K,-5.09%
06/21/2023,81.20,81.50,81.70,78.20,416.50K,1.37%
06/22/2023,79.10,82.00,82.70,78.80,336.29K,-2.59%
06/25/2023,78.80,79.20,80.40,78.40,172.33K,-0.38%
06/26/2023,82.20,80.50,82.80,79.60,573.87K,4.31%
07/02/2023,83.20,82.80,83.80,81.90,335.32K,1.22%
07/03/2023,80.10,83.90,84.00,79.50,415.14K,-3.73%
07/04/2023,78.20,79.90,81.60,78.10,298.72K,-2.37%
07/05/2023,76.30,78.00,79.70,75.50,368.39K,-2.43%
07/06/2023,76.30,76.10,77.30,74.70,366.59K,0.00%
07/09/2023,74.40,76.50,78.00,73.00,292.46K,-2.49%
07/10/2023,72.70,74.00,74.80,72.00,322.29K,-2.28%
07/11/2023,73.80,73.60,74.90,72.30,215.95K,1.51%
07/12/2023,72.40,74.40,75.30,71.60,203.85K,-1.90%
07/13/2023,69.60,73.60,73.60,69.00,270.07K,-3.87%
07/16/2023,71.30,69.30,72.10,69.20,231.16K,2.44%
07/17/2023,70.80,71.70,72.60,70.40,174.72K,-0.70%
07/18/2023,69.90,71.50,71.50,69.60,188.33K,-1.27%
07/19/2023,70.30,71.00,71.50,69.50,233.05K,0.57%
07/20/2023,72.10,71.20,72.90,70.40,233.19K,2.56%
07/23/2023,70.30,71.90,71.90,70.10,238.61K,-2.50%
07/24/2023,70.20,70.50,71.40,70.00,144.76K,-0.14%
07/25/2023,71.40,71.20,72.50,70.30,162.30K,1.71%
07/26/2023,71.90,71.50,72.30,70.80,92.42K,0.70%
07/27/2023,73.40,72.00,73.90,72.00,224.33K,2.09%
07/30/2023,75.60,73.50,76.80,73.10,411.87K,3.00%
07/31/2023,74.80,75.00,75.50,73.40,172.92K,-1.06%
08/01/2023,74.10,75.00,75.00,73.60,215.97K,-0.94%
08/02/2023,74.70,74.00,76.10,74.00,212.19K,0.81%
08/03/2023,74.10,74.80,75.30,73.50,211.65K,-0.80%
08/06/2023,73.70,74.70,75.40,73.50,145.53K,-0.54%
08/07/2023,71.00,73.20,73.20,70.70,156.41K,-3.66%
08/08/2023,72.80,73.00,73.00,70.50,55.86K,2.54%
08/09/2023,69.00,72.80,72.80,68.20,258.84K,-5.22%
08/10/2023,71.50,69.00,72.00,68.10,84.30K,3.62%
08/13/2023,72.30,71.40,73.70,71.40,509.81K,1.12%
08/14/2023,70.90,72.00,72.20,70.00,217.11K,-1.94%
08/16/2023,68.60,70.30,72.60,68.10,191.49K,-3.24%
