Date,Price,Open,High,Low,Vol.,Change %
10/12/2022,17.30,17.30,17.30,17.30,8.12K,0.00%
10/13/2022,17.30,17.30,17.50,17.30,544.96K,0.00%
10/16/2022,17.40,17.30,17.70,17.30,794.66K,0.58%
10/17/2022,17.30,17.40,17.40,17.30,156.85K,-0.57%
10/18/2022,17.30,17.30,17.30,17.30,118.55K,0.00%
10/19/2022,17.30,17.30,17.30,17.30,16.67K,0.00%
10/20/2022,17.30,17.30,17.30,17.30,1.76K,0.00%
10/23/2022,17.30,17.30,17.30,17.30,71.29K,0.00%
10/24/2022,17.30,17.30,17.30,17.30,71.37K,0.00%
10/25/2022,17.30,17.30,17.30,17.30,4.21K,0.00%
10/26/2022,17.30,17.30,17.30,17.30,51.27K,0.00%
10/27/2022,17.30,17.30,17.30,17.30,100.95K,0.00%
10/30/2022,17.30,17.40,17.40,17.30,254.22K,0.00%
10/31/2022,17.30,17.30,17.30,17.30,86.81K,0.00%
11/01/2022,17.30,17.30,17.30,17.30,39.05K,0.00%
11/02/2022,17.30,17.30,17.30,17.30,8.99K,0.00%
11/03/2022,17.30,17.30,17.50,17.30,596.03K,0.00%
11/06/2022,17.30,17.30,17.60,17.30,99.57K,0.00%
11/07/2022,17.30,17.30,17.30,17.30,20.73K,0.00%
11/08/2022,17.30,17.30,17.30,17.30,93.33K,0.00%
11/09/2022,17.30,17.30,17.30,17.30,31.56K,0.00%
11/10/2022,17.30,17.30,17.30,17.30,1.43K,0.00%
11/13/2022,17.30,17.30,17.30,17.30,1.37M,0.00%
11/14/2022,17.30,17.30,17.30,17.30,2.34K,0.00%
11/15/2022,17.30,17.30,17.50,17.30,1.09M,0.00%
11/16/2022,17.30,17.30,17.30,17.30,59.32K,0.00%
11/17/2022,17.30,17.30,17.30,17.30,79.22K,0.00%
11/20/2022,17.30,17.30,17.30,17.30,14.00K,0.00%
11/21/2022,17.30,17.30,17.30,17.30,0.04K,0.00%
11/22/2022,17.30,17.30,17.30,17.30,9.69K,0.00%
11/23/2022,17.30,17.30,17.30,17.30,84.23K,0.00%
11/28/2022,17.30,17.30,17.30,17.30,0.00K,0.00%
11/29/2022,17.30,17.30,17.30,17.30,0.49K,0.00%
11/30/2022,17.30,17.30,17.30,17.30,5.00K,0.00%
12/01/2022,17.30,17.30,17.30,17.30,0.20K,0.00%
12/07/2022,17.30,17.30,17.30,17.30,0.01K,0.00%
12/11/2022,17.30,17.30,17.30,17.30,0.05K,0.00%
12/12/2022,17.30,17.30,17.30,17.30,0.08K,0.00%
12/13/2022,17.30,17.30,17.30,17.30,11.64K,0.00%
12/14/2022,17.30,17.30,17.30,17.30,0.06K,0.00%
12/15/2022,17.30,17.30,17.30,17.30,1.79K,0.00%
12/19/2022,17.30,17.30,17.30,17.30,0.09K,0.00%
12/21/2022,17.30,17.30,17.30,17.30,0.03K,0.00%
12/22/2022,17.20,17.20,17.20,17.20,0.02K,-0.58%
12/26/2022,17.10,17.10,17.10,17.10,0.34K,-0.58%
12/27/2022,17.00,17.00,17.00,17.00,0.00K,-0.58%
12/28/2022,16.90,16.90,16.90,16.90,1.07K,-0.59%
12/29/2022,16.80,16.80,16.80,16.80,1.73K,-0.59%
01/01/2023,16.70,16.70,16.70,16.70,42.04K,-0.60%
01/02/2023,16.60,16.60,16.60,16.60,0.13K,-0.60%
01/03/2023,16.50,16.50,16.50,16.50,2.97K,-0.60%
01/04/2023,16.40,16.40,16.40,16.40,0.00K,-0.61%
01/05/2023,16.30,16.30,16.30,16.30,0.72K,-0.61%
01/08/2023,16.20,16.20,16.20,16.20,0.12K,-0.61%
01/09/2023,16.10,16.10,16.10,16.10,2.41K,-0.62%
01/10/2023,16.00,16.00,16.00,16.00,32.84K,-0.62%
01/11/2023,15.90,15.90,15.90,15.90,10.16K,-0.63%
01/12/2023,15.80,15.80,15.80,15.80,2.85K,-0.63%
01/15/2023,16.10,15.70,16.40,15.70,722.24K,1.90%
01/16/2023,16.00,16.10,16.20,16.00,354.48K,-0.62%
01/17/2023,16.30,15.90,16.80,15.90,657.00K,1.87%
01/18/2023,16.20,16.30,16.50,16.20,223.05K,-0.61%
01/19/2023,16.10,16.10,16.10,16.10,14.60K,-0.62%
01/22/2023,16.00,16.00,16.00,16.00,13.01K,-0.62%
01/23/2023,15.90,15.90,15.90,15.90,9.79K,-0.63%
01/24/2023,15.80,15.80,15.80,15.80,44.57K,-0.63%
01/25/2023,15.70,15.80,16.00,15.70,454.34K,-0.63%
01/26/2023,15.60,15.70,15.70,15.60,57.94K,-0.64%
01/29/2023,15.50,15.50,15.50,15.50,19.42K,-0.64%
01/30/2023,15.40,15.40,15.40,15.40,67.19K,-0.65%
01/31/2023,15.30,15.30,15.30,15.30,42.33K,-0.65%
02/01/2023,15.20,15.20,15.20,15.20,3.46K,-0.65%
02/02/2023,15.30,15.10,15.60,15.10,432.92K,0.66%
02/05/2023,15.20,15.30,15.60,15.20,368.43K,-0.65%
02/06/2023,15.10,15.20,15.30,15.10,123.62K,-0.66%
02/07/2023,15.00,15.00,15.20,15.00,51.14K,-0.66%
02/08/2023,14.90,14.90,15.00,14.90,165.98K,-0.67%
02/09/2023,14.80,14.90,14.90,14.80,79.97K,-0.67%
02/12/2023,14.70,14.70,14.70,14.70,27.93K,-0.68%
02/13/2023,14.60,14.60,14.80,14.60,93.55K,-0.68%
02/14/2023,14.50,14.50,14.60,14.50,107.39K,-0.68%
02/15/2023,14.40,14.40,14.40,14.40,144.11K,-0.69%
02/16/2023,14.30,14.30,14.30,14.30,17.66K,-0.69%
02/19/2023,14.20,14.20,14.20,14.20,3.32K,-0.70%
02/20/2023,14.10,14.10,14.10,14.10,3.35K,-0.70%
02/22/2023,14.00,14.00,14.30,14.00,377.42K,-0.71%
02/23/2023,13.90,14.00,14.10,13.90,53.38K,-0.71%
02/26/2023,13.80,13.80,14.10,13.80,195.51K,-0.72%
02/27/2023,14.00,14.10,14.10,13.70,115.46K,1.45%
02/28/2023,14.10,14.10,14.30,13.90,237.36K,0.71%
03/01/2023,14.10,14.00,14.50,14.00,279.28K,0.00%
03/02/2023,14.10,14.40,14.50,14.10,153.41K,0.00%
03/05/2023,14.60,14.00,14.70,14.00,247.83K,3.55%
03/06/2023,14.60,14.50,15.10,14.50,339.97K,0.00%
03/07/2023,14.40,14.50,14.80,14.30,170.03K,-1.37%
03/09/2023,14.30,14.60,14.60,14.20,114.78K,-0.69%
03/12/2023,14.00,14.20,14.30,14.00,215.89K,-2.10%
03/13/2023,14.00,14.10,14.20,14.00,143.39K,0.00%
03/14/2023,14.00,14.00,14.00,14.00,43.79K,0.00%
03/15/2023,14.00,14.00,14.00,14.00,76.09K,0.00%
03/16/2023,14.00,14.00,14.00,14.00,7.84K,0.00%
03/19/2023,14.00,14.00,14.00,14.00,9.49K,0.00%
03/20/2023,14.00,14.00,14.00,14.00,3.21K,0.00%
03/21/2023,14.00,14.00,14.00,14.00,2.50K,0.00%
03/22/2023,14.00,14.00,14.00,14.00,8.61K,0.00%
03/23/2023,14.00,14.00,14.00,14.00,2.03K,0.00%
03/27/2023,14.00,14.00,14.00,14.00,82.35K,0.00%
03/28/2023,14.00,14.00,14.00,14.00,48.46K,0.00%
03/29/2023,14.00,14.00,14.00,14.00,11.36K,0.00%
03/30/2023,14.20,14.00,14.20,14.00,238.59K,1.43%
04/02/2023,14.60,14.30,14.70,14.30,449.17K,2.82%
04/03/2023,14.70,14.60,14.90,14.60,638.95K,0.68%
04/04/2023,14.80,14.90,15.10,14.50,947.98K,0.68%
04/05/2023,14.90,14.80,15.30,14.70,578.65K,0.68%
04/06/2023,15.30,14.80,15.40,14.80,505.13K,2.68%
04/09/2023,15.40,15.00,15.60,15.00,917.35K,0.65%
04/10/2023,15.30,15.00,15.40,14.90,924.51K,-0.65%
04/11/2023,14.90,15.30,15.50,14.80,926.34K,-2.61%
04/12/2023,14.50,15.20,15.40,14.30,826.25K,-2.68%
04/13/2023,15.00,14.40,15.30,14.40,798.52K,3.45%
04/16/2023,15.10,15.10,15.20,15.00,294.88K,0.67%
04/17/2023,15.00,15.00,15.20,14.90,409.94K,-0.66%
04/18/2023,14.80,15.20,15.20,14.70,219.17K,-1.33%
04/24/2023,14.60,14.70,14.80,14.30,745.35K,-1.35%
04/25/2023,15.20,14.80,15.40,14.70,1.34M,4.11%
04/26/2023,15.70,15.30,16.20,15.10,1.37M,3.29%
04/27/2023,15.60,15.70,15.80,15.40,1.07M,-0.64%
04/30/2023,15.30,15.50,15.70,15.20,736.25K,-1.92%
05/02/2023,15.30,15.80,15.80,15.10,605.79K,0.00%
05/03/2023,15.50,15.50,15.60,15.30,753.21K,1.31%
05/07/2023,15.70,15.50,16.20,15.40,1.20M,1.29%
05/08/2023,16.10,15.70,16.20,15.70,1.46M,2.55%
05/09/2023,17.10,16.10,17.40,16.10,2.70M,6.21%
05/10/2023,18.40,17.00,18.70,16.90,3.38M,7.60%
